1         Threads
1         Connections per thread
2000000   Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1006.47          ---          ---         0.88574         0.85500         1.39900         1.84700   1030676.71 
Gets          100.65        91.04         9.61         1.06570         1.06300         2.02300         2.68700     93225.44 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       1107.12        91.04         9.61         0.90210         0.87100         1.64700         2.14300   1123902.15 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.479        0.000
SET       0.583        5.000
SET       0.599       10.000
SET       0.615       15.000
SET       0.623       20.000
SET       0.639       25.000
SET       0.647       30.000
SET       0.671       35.000
SET       0.703       40.000
SET       0.807       45.000
SET       0.855       50.000
SET       0.879       52.500
SET       0.903       55.000
SET       0.935       57.500
SET       0.967       60.000
SET       1.023       62.500
SET       1.063       65.000
SET       1.087       67.500
SET       1.103       70.000
SET       1.119       72.500
SET       1.135       75.000
SET       1.143       76.250
SET       1.151       77.500
SET       1.151       78.750
SET       1.159       80.000
SET       1.167       81.250
SET       1.175       82.500
SET       1.183       83.750
SET       1.191       85.000
SET       1.199       86.250
SET       1.207       87.500
SET       1.207       88.125
SET       1.215       88.750
SET       1.223       89.375
SET       1.223       90.000
SET       1.231       90.625
SET       1.231       91.250
SET       1.239       91.875
SET       1.247       92.500
SET       1.255       93.125
SET       1.263       93.750
SET       1.263       94.062
SET       1.271       94.375
SET       1.271       94.688
SET       1.279       95.000
SET       1.279       95.312
SET       1.287       95.625
SET       1.295       95.938
SET       1.303       96.250
SET       1.303       96.562
SET       1.311       96.875
SET       1.319       97.031
SET       1.319       97.188
SET       1.327       97.344
SET       1.327       97.500
SET       1.335       97.656
SET       1.335       97.812
SET       1.343       97.969
SET       1.351       98.125
SET       1.359       98.281
SET       1.367       98.438
SET       1.367       98.516
SET       1.375       98.594
SET       1.375       98.672
SET       1.383       98.750
SET       1.391       98.828
SET       1.391       98.906
SET       1.399       98.984
SET       1.407       99.062
SET       1.415       99.141
SET       1.431       99.219
SET       1.431       99.258
SET       1.439       99.297
SET       1.447       99.336
SET       1.463       99.375
SET       1.471       99.414
SET       1.487       99.453
SET       1.503       99.492
SET       1.527       99.531
SET       1.551       99.570
SET       1.575       99.609
SET       1.583       99.629
SET       1.599       99.648
SET       1.607       99.668
SET       1.623       99.688
SET       1.631       99.707
SET       1.647       99.727
SET       1.663       99.746
SET       1.679       99.766
SET       1.695       99.785
SET       1.711       99.805
SET       1.719       99.814
SET       1.727       99.824
SET       1.735       99.834
SET       1.751       99.844
SET       1.759       99.854
SET       1.775       99.863
SET       1.791       99.873
SET       1.807       99.883
SET       1.823       99.893
SET       1.847       99.902
SET       1.863       99.907
SET       1.871       99.912
SET       1.887       99.917
SET       1.903       99.922
SET       1.927       99.927
SET       1.943       99.932
SET       1.967       99.937
SET       1.983       99.941
SET       2.007       99.946
SET       2.039       99.951
SET       2.063       99.954
SET       2.079       99.956
SET       2.095       99.958
SET       2.095       99.961
SET       2.111       99.963
SET       2.127       99.966
SET       2.143       99.968
SET       2.159       99.971
SET       2.191       99.973
SET       2.207       99.976
SET       2.223       99.977
SET       2.239       99.978
SET       2.255       99.979
SET       2.271       99.980
SET       2.303       99.982
SET       2.319       99.983
SET       2.367       99.984
SET       2.383       99.985
SET       2.399       99.987
SET       2.431       99.988
SET       2.447       99.988
SET       2.463       99.989
SET       2.479       99.990
SET       2.495       99.990
SET       2.511       99.991
SET       2.543       99.991
SET       2.559       99.992
SET       2.575       99.993
SET       2.591       99.993
SET       2.639       99.994
SET       2.655       99.994
SET       2.687       99.995
SET       2.687       99.995
SET       2.735       99.995
SET       2.751       99.995
SET       2.783       99.996
SET       2.815       99.996
SET       2.863       99.996
SET       2.895       99.997
SET       2.911       99.997
SET       2.943       99.997
SET       2.975       99.997
SET       2.991       99.997
SET       3.039       99.998
SET       3.087       99.998
SET       3.103       99.998
SET       3.119       99.998
SET       3.135       99.998
SET       3.151       99.998
SET       3.215       99.998
SET       3.215       99.999
SET       3.263       99.999
SET       3.327       99.999
SET       3.359       99.999
SET       3.423       99.999
SET       3.455       99.999
SET       3.519       99.999
SET       3.551       99.999
SET       3.615       99.999
SET       3.711       99.999
SET       3.711       99.999
SET       3.775       99.999
