1         Threads
1         Connections per thread
2000000   Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          822.98          ---          ---         1.07272         0.94300         1.35100         1.45500    842771.04 
Gets           82.30        74.44         7.86         0.86246         0.76700         2.07900         2.35100     76229.24 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals        905.28        74.44         7.86         1.05360         0.93500         1.39100         2.14300    919000.28 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.383        0.000
SET       0.815        5.000
SET       0.855       10.000
SET       0.879       15.000
SET       0.895       20.000
SET       0.903       25.000
SET       0.911       30.000
SET       0.919       35.000
SET       0.927       40.000
SET       0.935       45.000
SET       0.943       50.000
SET       0.951       52.500
SET       0.959       55.000
SET       0.959       57.500
SET       0.967       60.000
SET       0.975       62.500
SET       0.975       65.000
SET       0.983       67.500
SET       0.991       70.000
SET       0.999       72.500
SET       1.007       75.000
SET       1.007       76.250
SET       1.015       77.500
SET       1.015       78.750
SET       1.023       80.000
SET       1.023       81.250
SET       1.031       82.500
SET       1.031       83.750
SET       1.039       85.000
SET       1.055       86.250
SET       1.063       87.500
SET       1.071       88.125
SET       1.087       88.750
SET       1.103       89.375
SET       1.127       90.000
SET       1.159       90.625
SET       1.191       91.250
SET       1.207       91.875
SET       1.223       92.500
SET       1.231       93.125
SET       1.247       93.750
SET       1.247       94.062
SET       1.255       94.375
SET       1.263       94.688
SET       1.263       95.000
SET       1.271       95.312
SET       1.279       95.625
SET       1.279       95.938
SET       1.287       96.250
SET       1.295       96.562
SET       1.295       96.875
SET       1.303       97.031
SET       1.303       97.188
SET       1.311       97.344
SET       1.311       97.500
SET       1.311       97.656
SET       1.319       97.812
SET       1.319       97.969
SET       1.327       98.125
SET       1.327       98.281
SET       1.335       98.438
SET       1.335       98.516
SET       1.335       98.594
SET       1.335       98.672
SET       1.343       98.750
SET       1.343       98.828
SET       1.343       98.906
SET       1.351       98.984
SET       1.351       99.062
SET       1.359       99.141
SET       1.359       99.219
SET       1.367       99.258
SET       1.367       99.297
SET       1.367       99.336
SET       1.375       99.375
SET       1.375       99.414
SET       1.375       99.453
SET       1.383       99.492
SET       1.383       99.531
SET       1.391       99.570
SET       1.391       99.609
SET       1.399       99.629
SET       1.399       99.648
SET       1.399       99.668
SET       1.407       99.688
SET       1.407       99.707
SET       1.407       99.727
SET       1.415       99.746
SET       1.415       99.766
SET       1.423       99.785
SET       1.423       99.805
SET       1.423       99.814
SET       1.431       99.824
SET       1.431       99.834
SET       1.431       99.844
SET       1.439       99.854
SET       1.439       99.863
SET       1.439       99.873
SET       1.447       99.883
SET       1.447       99.893
SET       1.455       99.902
SET       1.455       99.907
SET       1.463       99.912
SET       1.463       99.917
SET       1.463       99.922
SET       1.471       99.927
SET       1.471       99.932
SET       1.479       99.937
SET       1.487       99.941
SET       1.503       99.946
SET       1.527       99.951
SET       1.551       99.954
SET       1.591       99.956
SET       1.671       99.958
SET       2.111       99.961
SET       2.783       99.963
SET       2.943       99.966
SET       3.103       99.968
SET       3.247       99.971
SET       3.295       99.973
SET       3.343       99.976
SET       3.359       99.977
SET       3.391       99.978
SET       3.407       99.979
SET       3.423       99.980
SET       3.439       99.982
SET       3.471       99.983
SET       3.503       99.984
SET       3.551       99.985
SET     331.775       99.987
SET     528.383       99.988
SET     585.727       99.988
SET     638.975       99.989
SET     675.839       99.990
SET     712.703       99.990
SET     741.375       99.991
SET     765.951       99.991
SET     790.527       99.992
SET     815.103       99.993
SET     843.775       99.993
SET     868.351       99.994
SET     876.543       99.994
SET     884.735       99.995
SET     892.927       99.995
SET     905.215       99.995
SET     913.407       99.995
SET     921.599       99.996
SET     929.791       99.996
SET     942.079       99.996
SET     954.367       99.997
SET     966.655       99.997
SET     970.751       99.997
SET     974.847       99.997
SET     978.943       99.997
SET     987.135       99.998
SET     991.231       99.998
SET     991.231       99.998
SET     991.231       99.998
SET     999.423       99.998
SET    1003.519       99.998
SET    1011.711       99.998
SET    1011.711       99.999
SET    1011.711       99.999
SET    1015.807       99.999
SET    1015.807       99.999
SET    1019.903       99.999
SET    1019.903       99.999
SET    1019.903       99.999
SET    1023.999       99.999
SET    1028.095       99.999
SET    1028.095       99.999
SET    1028.095       99.999
SET    1028.095       99.999
SET    1036.287       99.999
SET    1036.287       99.999
SET    1040.383       99.999
SET    1040.383       99.999
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1048.575      100.000
SET    1048.575      100.000
---
GET       0.023        0.000
GET       0.023        5.000
GET       0.703       10.000
GET       0.727       15.000
GET       0.735       20.000
GET       0.743       25.000
GET       0.751       30.000
GET       0.759       35.000
GET       0.759       40.000
GET       0.767       45.000
GET       0.767       50.000
GET       0.775       52.500
GET       0.775       55.000
GET       0.783       57.500
GET       0.783       60.000
GET       0.783       62.500
GET       0.791       65.000
GET       0.799       67.500
GET       0.799       70.000
GET       0.807       72.500
